ID,Date,Temperature(C),Humidity(%),WindSpeed(km/h),Rain(mm),TrafficVolume(vehicles/hour),NO2(µg/m3),SO2(µg/m3),CO(mg/m3),PM2.5(µg/m3),PM10(µg/m3),Season,Region,AQI_PM2.5,AQI_PM10,AQI_NO2,AQI_SO2,AQI_CO,AQI Value,AQI Category,Country,lat,lng
394,2024-01-29,39.2,63.8,17.2,1.3,556.0,41.5,17.1,1.52,67.5,77.7,Spring,Urban,157.2,62.2,39.2,24.4,17.3,157.2,Unhealthy,Denmark,55.6759,12.5655
395,2024-01-30,35.9,71.2,15.04141700404858,1.4,2392.0,40.2,15.9,0.98,76.4,107.7,Fall,Urban,161.8,77.1,37.9,22.7,11.1,161.8,Unhealthy,North Macedonia,41.9965,21.4314
396,2024-01-31,27.7,42.6,13.6,2.9,3069.0,51.7,7.4,1.04,68.4,117.7,Spring,Rural,157.7,82.0,48.8,10.6,11.8,157.7,Unhealthy,Hungary,47.2,18.8
397,2024-02-01,21.4,64.1,5.5,4.4,4580.0,39.5,11.8,1.44,75.8,87.9,Fall,Urban,161.5,67.3,37.3,16.9,16.4,161.5,Unhealthy,France,48.8534,2.3488
398,2024-02-02,36.8,57.2,12.6,1.4,4956.0,44.3,13.6,0.66,58.0,110.7,Winter,Rural,152.3,78.6,41.8,19.4,7.5,152.3,Unhealthy,Serbia,44.5,20.2
399,2024-02-03,29.4,61.1,15.2,3.3,2448.0,39.4,10.7,0.67,71.6,88.0,Summer,Rural,159.3,67.3,37.2,15.3,7.6,159.3,Unhealthy,Czech Republic,49.8,14.2
400,2024-02-04,36.2,64.6,21.1,3.1,722.0,46.1,16.2,0.75,45.0,62.1,Summer,Rural,124.4,54.5,43.5,23.1,8.5,124.4,Unhealthy for Sensitive Groups,Finland,61.0,24.0
401,2024-02-05,22.0,58.1,12.2,3.8,2139.0,53.9,24.6,1.01,59.1,109.1,Spring,Rural,152.9,77.8,,35.1,11.5,152.9,Unhealthy,Serbia,44.5,20.2
402,2024-02-06,27.0,59.0,17.6,2.1,4922.0,41.4,22.6,1.01,32.5,141.5,Summer,Urban,93.9,93.8,39.1,32.3,11.5,93.9,Moderate,Serbia,44.804,20.4651
403,2024-02-07,30.0,57.9,16.5,0.2,2257.0,47.8,16.2,0.83,60.5,76.1,Summer,Rural,153.6,61.4,45.1,23.1,9.4,153.6,Unhealthy,Hungary,47.2,18.8
404,2024-02-08,30.2,69.7,15.2,1.1,1335.0,54.6,18.9,0.91,78.4,103.6,Winter,Urban,162.8,75.1,51.6,27.0,10.3,162.8,Unhealthy,Netherlands,52.374,4.8897
405,2024-02-09,27.7,64.2,19.7,2.7,3036.0,53.6,11.4,0.84,61.1,126.2,Winter,Rural,153.9,86.2,,16.3,9.5,153.9,Unhealthy,Czech Republic,49.8,14.2
406,2024-02-10,33.1,62.2,11.7,5.6,3025.0,36.1,22.3,0.85,70.8,98.0,Spring,Rural,158.9,72.3,34.1,31.9,9.7,158.9,Unhealthy,Hungary,47.2,18.8
407,2024-02-11,24.7,47.3,12.1,1.0,1484.0,50.4,7.2,0.77,64.1,71.5,Fall,Urban,155.4,59.2,47.5,10.3,8.8,155.4,Unhealthy,Netherlands,52.374,4.8897
408,2024-02-12,29.3,56.2,14.9,3.6,1857.0,42.5,19.6,0.77,51.4,100.9,Spring,Rural,140.2,73.7,40.1,28.0,8.8,140.2,Unhealthy for Sensitive Groups,Bosnia and Herzegovina,44.0,17.9
409,2024-02-13,30.6,69.0,11.8,1.3,3560.0,51.2,17.5,0.4,57.2,129.8,Winter,Urban,151.9,88.0,48.3,25.0,4.5,151.9,Unhealthy,Bosnia and Herzegovina,43.8486,18.3564
410,2024-02-14,32.6,60.4,17.5,2.2,4977.0,45.7,11.2,0.93,77.7,89.9,Summer,Urban,162.5,68.3,43.1,16.0,10.6,162.5,Unhealthy,Spain,40.4165,-3.7026
411,2024-02-15,33.6,66.6,11.4,5.0,1946.0,42.8,14.0,0.41,70.8,104.6,Fall,Rural,158.9,75.5,40.4,20.0,4.7,158.9,Unhealthy,Romania,46.5,24.5
412,2024-02-16,24.4,77.7,16.1,3.5,1871.0,44.3,9.3,1.23,50.7,78.9,Winter,Urban,138.4,62.8,41.8,13.3,14.0,138.4,Unhealthy for Sensitive Groups,France,48.8534,2.3488
413,2024-02-17,22.3,70.4,14.5,0.5,3724.0,42.6,9.5,0.83,39.2,98.0,Winter,Rural,110.1,72.3,40.2,13.6,9.4,110.1,Unhealthy for Sensitive Groups,Bulgaria,42.5,23.0
414,2024-02-18,36.4,60.9,16.1,0.9,2374.0,42.9,7.0,0.96,63.1,107.7,Fall,Rural,154.9,77.1,40.5,10.0,10.9,154.9,Unhealthy,Finland,61.0,24.0
415,2024-02-19,31.7,54.9,12.7,4.5,2999.0,38.4,18.8,0.89,51.3,102.5,Fall,Rural,139.9,74.5,36.2,26.9,10.1,139.9,Unhealthy for Sensitive Groups,Bulgaria,42.5,23.0
416,2024-02-20,26.3,34.5,13.3,2.3,3861.0,37.5,21.0,0.93,57.3,91.4,Spring,Urban,151.9,69.0,35.4,30.0,10.6,151.9,Unhealthy,Netherlands,52.374,4.8897
417,2024-02-21,37.8,58.3,15.5,0.3,1642.0,57.6,4.2,1.38,38.2,108.9,Fall,Rural,107.6,77.7,54.8,6.0,15.7,107.6,Unhealthy for Sensitive Groups,Romania,46.5,24.5
418,2024-02-22,30.6,56.7,15.04141700404858,0.4,2764.911133603239,44.8,24.2,0.59,75.6,113.4,Fall,Urban,161.4,79.9,42.3,34.6,6.7,161.4,Unhealthy,Poland,52.2298,21.0118
419,2024-02-23,35.9,63.9,15.0,3.4,1064.0,34.3,14.9,0.51,58.5,114.7,Summer,Rural,152.5,80.5,32.4,21.3,5.8,152.5,Unhealthy,Romania,46.5,24.5
420,2024-02-24,30.3,58.5,23.5,4.0,2088.0,37.2,16.4,1.04,60.8,94.1,Spring,Rural,153.7,70.4,35.1,23.4,11.8,153.7,Unhealthy,Hungary,47.2,18.8
421,2024-02-25,40.3,56.8,10.0,2.0,4485.0,50.6,7.6,0.85,47.5,87.6,Fall,Urban,130.5,67.1,47.7,10.9,9.7,130.5,Unhealthy for Sensitive Groups,Denmark,55.6759,12.5655
422,2024-02-26,38.8,42.2,14.7,7.0,1970.0,32.6,21.6,1.11,55.8,139.3,Spring,Rural,151.2,92.7,30.8,30.9,12.6,151.2,Unhealthy,Bulgaria,42.5,23.0
423,2024-02-27,28.8,50.6,7.1,3.6,4414.0,25.2,16.0,1.21,61.8,102.8,Fall,Urban,154.3,74.7,23.8,22.9,13.8,154.3,Unhealthy,Italy,41.8919,12.5113
424,2024-02-28,34.9,64.8,16.9,1.5,3613.0,25.9,20.7,0.67,50.8,94.9,Winter,Urban,138.7,70.7,24.4,29.6,7.6,138.7,Unhealthy for Sensitive Groups,Finland,60.1695,24.9355
425,2024-02-29,33.2,77.2,9.4,0.4,4990.0,22.7,21.1,1.18,56.8,70.5,Winter,Rural,151.7,58.7,21.4,30.1,13.4,151.7,Unhealthy,Netherlands,53.1,5.5
426,2024-03-01,36.8,59.0,13.6,0.1,4842.0,27.0,21.7,0.69,80.8,81.4,Spring,Urban,164.1,64.1,25.5,31.0,7.8,164.1,Unhealthy,Poland,52.2298,21.0118
427,2024-03-02,25.2,63.3,13.1,2.7,3862.0,28.2,11.8,1.02,33.7,87.2,Winter,Urban,96.4,66.9,26.6,16.9,11.6,96.4,Moderate,Finland,60.1695,24.9355
428,2024-03-03,33.4,69.5,16.4,1.0,2136.0,53.9,14.0,0.63,62.8,108.8,Winter,Urban,154.8,77.6,,20.0,7.2,154.8,Unhealthy,Denmark,55.6759,12.5655
429,2024-03-04,35.3,51.9,12.2,5.3,3412.0,39.5,11.9,1.04,48.2,92.9,Fall,Rural,132.3,69.8,37.3,17.0,11.8,132.3,Unhealthy for Sensitive Groups,Bosnia and Herzegovina,44.0,17.9
430,2024-03-05,21.2,63.7,12.0,4.9,1972.0,36.4,19.5,0.99,80.0,100.3,Summer,Rural,163.7,73.4,34.3,27.9,11.2,163.7,Unhealthy,Hungary,47.2,18.8
431,2024-03-06,24.1,52.6,22.2,3.3,1744.0,25.6,16.7,0.67,57.3,71.3,Fall,Rural,151.9,59.1,24.2,23.9,7.6,151.9,Unhealthy,United Kingdom,54.0,-1.5
432,2024-03-07,19.8,68.6,15.04141700404858,0.4,4237.0,38.6,20.3,0.59,44.3,128.1,Summer,Rural,122.7,87.2,36.4,29.0,6.7,122.7,Unhealthy for Sensitive Groups,Germany,48.8,11.5
433,2024-03-08,28.7,61.5,12.2,0.7,2598.0,22.6,20.6,1.23,56.8,85.3,Spring,Urban,151.7,66.0,21.3,29.4,14.0,151.7,Unhealthy,United Kingdom,51.5074,-0.1278
434,2024-03-09,33.6,63.0,13.7,4.5,3097.0,36.3,6.4,0.86,65.2,104.7,Summer,Urban,156.0,75.6,34.2,9.1,9.8,156.0,Unhealthy,Denmark,55.6759,12.5655
435,2024-03-10,37.5,52.2,23.2,0.9,3012.0,60.6,21.8,1.3,101.6,89.4,Spring,Rural,174.8,68.0,58.0,31.1,14.8,174.8,Unhealthy,Romania,46.5,24.5
436,2024-03-11,30.4,67.1,13.8,4.2,758.0,46.6,19.8,0.84,28.4,93.6,Summer,Rural,85.3,70.1,44.0,28.3,9.5,85.3,Moderate,Czech Republic,49.8,14.2
437,2024-03-12,38.1,80.8,11.6,2.9,2858.0,37.9,13.2,1.39,42.0,84.1,Winter,Urban,117.0,65.4,35.8,18.9,15.8,117.0,Unhealthy for Sensitive Groups,Spain,40.4165,-3.7026
438,2024-03-13,23.1,49.9,11.6,2.1,3893.0,47.0,16.7,0.72,79.6,105.9,Winter,Urban,163.4,76.2,44.3,23.9,8.2,163.4,Unhealthy,Bosnia and Herzegovina,43.8486,18.3564
439,2024-03-14,21.5,56.6,15.04141700404858,0.6,4278.0,34.8,14.4,1.44,37.4,80.4,Spring,Urban,105.7,63.6,32.8,20.6,16.4,105.7,Unhealthy for Sensitive Groups,Romania,44.4323,26.1063
440,2024-03-15,29.7,62.3,12.0,1.8,2764.911133603239,32.0,18.1,1.05,60.1,106.3,Summer,Urban,153.4,76.4,30.2,25.9,11.9,153.4,Unhealthy,United Kingdom,51.5074,-0.1278
441,2024-03-16,31.9,67.9,8.6,2.4,1768.0,57.0,13.1,1.12,52.7,97.6,Winter,Rural,143.4,72.1,54.2,18.7,12.7,143.4,Unhealthy for Sensitive Groups,Hungary,47.2,18.8
442,2024-03-17,29.8,54.4,9.4,4.1,1439.0,28.6,17.4,0.7,50.4,112.6,Spring,Urban,137.7,79.5,27.0,24.9,8.0,137.7,Unhealthy for Sensitive Groups,Austria,48.2085,16.3721
443,2024-03-18,19.7,31.7,10.9,0.2,2876.0,36.5,15.3,1.22,57.4,114.6,Summer,Urban,152.0,80.5,34.4,21.9,13.9,152.0,Unhealthy,Romania,44.4323,26.1063
444,2024-03-19,29.6,73.6,18.0,1.5,4451.0,43.1,12.8,1.23,55.0,93.6,Winter,Rural,149.0,70.1,40.7,18.3,14.0,149.0,Unhealthy for Sensitive Groups,Portugal,38.5,-8.0
445,2024-03-20,23.5,67.6,15.04141700404858,2.1,2764.911133603239,30.6,16.0,0.9,75.9,107.3,Fall,Urban,161.5,76.9,28.9,22.9,10.2,161.5,Unhealthy,Bosnia and Herzegovina,43.8486,18.3564
446,2024-03-21,33.3,42.6,14.0,3.3,4657.0,46.5,28.5,0.36,79.9,91.0,Summer,Rural,163.6,68.8,43.9,40.7,4.1,163.6,Unhealthy,Belgium,51.0,4.0
447,2024-03-22,31.8,53.9,21.4,0.2,3596.0,36.9,11.6,0.67,66.4,126.3,Spring,Rural,156.6,86.3,34.8,16.6,7.6,156.6,Unhealthy,Portugal,38.5,-8.0
448,2024-03-23,25.3,75.7,21.5,0.6,4135.0,46.6,13.8,0.67,56.5,92.8,Fall,Rural,151.5,69.7,44.0,19.7,7.6,151.5,Unhealthy,Denmark,55.5,12.0
449,2024-03-24,27.4,74.5,15.04141700404858,3.3,1061.0,45.9,11.7,1.13,63.9,96.0,Fall,Urban,155.3,71.3,43.3,16.7,12.8,155.3,Unhealthy,Serbia,44.804,20.4651
450,2024-03-25,24.7,69.4,11.8,1.0,3949.0,37.6,12.2,0.86,72.1,90.6,Spring,Urban,159.6,68.6,35.5,17.4,9.8,159.6,Unhealthy,Austria,48.2085,16.3721
451,2024-03-26,29.7,58.2,10.7,4.6,3866.0,57.1,19.1,0.87,75.0,85.3,Fall,Rural,161.1,66.0,54.3,27.3,9.9,161.1,Unhealthy,Austria,47.5,11.5
452,2024-03-27,34.8,60.8,18.5,1.7,3623.0,33.3,18.6,0.83,65.6,140.7,Spring,Rural,156.2,93.4,31.4,26.6,9.4,156.2,Unhealthy,Austria,47.5,11.5
453,2024-03-28,25.1,58.7,14.0,1.1,3391.0,53.5,15.0,1.44,82.9,109.7,Winter,Urban,165.1,78.1,,21.4,16.4,165.1,Unhealthy,Sweden,59.3293,18.0686
454,2024-03-29,32.5,71.3,13.1,1.0,539.0,51.7,20.1,1.01,50.8,101.4,Spring,Urban,138.7,74.0,48.8,28.7,11.5,138.7,Unhealthy for Sensitive Groups,Poland,52.2298,21.0118
455,2024-03-30,27.3,51.2,10.9,2.8,2267.0,57.7,19.0,1.06,77.1,90.5,Fall,Urban,162.2,68.6,54.9,27.1,12.0,162.2,Unhealthy,United Kingdom,51.5074,-0.1278
456,2024-03-31,26.0,51.9,11.2,0.9,3004.0,41.7,14.2,0.81,70.6,122.3,Fall,Urban,158.8,84.3,39.3,20.3,9.2,158.8,Unhealthy,Netherlands,52.374,4.8897
457,2024-04-01,29.5,70.1,16.6,2.0,2764.911133603239,32.1,7.3,0.99,50.8,89.1,Summer,Rural,138.7,67.9,30.3,10.4,11.2,138.7,Unhealthy for Sensitive Groups,North Macedonia,41.8,21.2
458,2024-04-02,24.8,59.6,8.4,3.5,2376.0,60.8,19.1,0.71,63.5,102.4,Fall,Urban,155.1,74.5,58.2,27.3,8.1,155.1,Unhealthy,Netherlands,52.374,4.8897
459,2024-04-03,27.2,73.8,20.0,1.6,4597.0,36.7,15.8,1.1,64.5,144.1,Winter,Urban,155.6,95.1,34.6,22.6,12.5,155.6,Unhealthy,Denmark,55.6759,12.5655
460,2024-04-04,24.0,53.3,12.3,0.1,1992.0,31.9,15.1,0.66,57.9,80.9,Spring,Urban,152.2,63.8,30.1,21.6,7.5,152.2,Unhealthy,Belgium,50.8505,4.3488
461,2024-04-05,39.8,59.5,15.04141700404858,1.4,1629.0,38.1,12.7,1.22,57.7,110.8,Spring,Rural,152.1,78.6,35.9,18.1,13.9,152.1,Unhealthy,Italy,41.6,12.3
462,2024-04-06,30.2,50.8,8.3,4.8,2763.0,30.2,18.7,0.78,37.1,105.8,Fall,Urban,104.9,76.1,28.5,26.7,8.9,104.9,Unhealthy for Sensitive Groups,North Macedonia,41.9965,21.4314
463,2024-04-07,26.5,60.1,14.9,5.4,4521.0,45.3,16.7,1.28,49.7,110.6,Winter,Rural,136.0,78.5,42.7,23.9,14.5,136.0,Unhealthy for Sensitive Groups,Bosnia and Herzegovina,44.0,17.9
464,2024-04-08,31.1,45.2,13.4,2.0,4805.0,33.9,13.8,1.57,56.4,94.3,Spring,Rural,151.5,70.5,32.0,19.7,17.8,151.5,Unhealthy,Italy,41.6,12.3
465,2024-04-09,29.4,55.1,14.7,4.2,2685.0,37.1,8.9,1.0,51.4,88.2,Summer,Rural,140.2,67.4,35.0,12.7,11.4,140.2,Unhealthy for Sensitive Groups,Austria,47.5,11.5
466,2024-04-10,28.9,45.6,22.4,2.5,2144.0,49.7,20.3,1.39,47.2,104.5,Winter,Urban,129.8,75.5,46.9,29.0,15.8,129.8,Unhealthy for Sensitive Groups,Bosnia and Herzegovina,43.8486,18.3564
467,2024-04-11,33.1,66.9,15.9,3.8,4060.0,46.2,18.0,1.23,75.9,90.9,Summer,Rural,161.5,68.8,43.6,25.7,14.0,161.5,Unhealthy,Germany,48.8,11.5
468,2024-04-12,33.8,67.2,11.0,0.9,3185.0,40.2,16.3,0.57,58.4,53.4,Summer,Rural,152.5,49.4,37.9,23.3,6.5,152.5,Unhealthy,Finland,61.0,24.0
469,2024-04-13,27.3,42.7,11.4,1.5,2764.911133603239,41.7,1.7,1.03,92.5,83.5,Spring,Rural,170.1,65.1,39.3,2.4,11.7,170.1,Unhealthy,Portugal,38.5,-8.0
470,2024-04-14,27.1,73.3,15.04141700404858,3.2,1721.0,40.1,14.8,1.15,63.3,93.7,Winter,Urban,155.0,70.2,37.8,21.1,13.1,155.0,Unhealthy,Netherlands,52.374,4.8897
471,2024-04-15,28.6,85.0,21.5,0.1,2764.911133603239,35.7,13.8,1.18,75.6,78.4,Fall,Rural,161.4,62.6,33.7,19.7,13.4,161.4,Unhealthy,Romania,46.5,24.5
472,2024-04-16,18.5,60.5,16.4,0.8,2764.911133603239,40.0,11.9,1.05,56.9,103.0,Spring,Rural,151.7,74.8,37.7,17.0,11.9,151.7,Unhealthy,Denmark,55.5,12.0
473,2024-04-17,22.4,53.6,18.4,0.6,4702.0,44.9,18.8,1.05,50.1,84.8,Summer,Urban,136.9,65.7,42.4,26.9,11.9,136.9,Unhealthy for Sensitive Groups,Bulgaria,42.6975,23.3242
474,2024-04-18,36.8,88.2,18.0,3.2,4922.0,38.7,18.6,1.0,63.9,99.1,Spring,Rural,155.3,72.8,36.5,26.6,11.4,155.3,Unhealthy,Belgium,51.0,4.0
475,2024-04-19,38.2,46.8,15.04141700404858,2.3,1143.0,44.2,17.2,1.04,79.4,143.4,Spring,Rural,163.3,94.8,41.7,24.6,11.8,163.3,Unhealthy,Bosnia and Herzegovina,44.0,17.9
476,2024-04-20,28.8,60.2,5.3,3.6,4952.0,31.6,20.2,0.63,58.7,124.5,Summer,Rural,152.7,85.4,29.8,28.9,7.2,152.7,Unhealthy,Bulgaria,42.5,23.0
477,2024-04-21,32.9,61.8,18.3,3.3,2764.911133603239,34.0,9.9,0.93,66.7,111.8,Spring,Urban,156.8,79.1,32.1,14.1,10.6,156.8,Unhealthy,Germany,52.52,13.405
478,2024-04-22,31.6,73.5,19.9,1.2,4305.0,32.7,12.7,0.56,63.9,136.2,Fall,Urban,155.3,91.2,30.8,18.1,6.4,155.3,Unhealthy,Germany,52.52,13.405
479,2024-04-23,45.4,63.6,15.04141700404858,1.9,4790.0,34.3,15.4,0.85,58.5,98.5,Summer,Rural,152.5,72.5,32.4,22.0,9.7,152.5,Unhealthy,Finland,61.0,24.0
480,2024-04-24,35.6,55.0,10.6,1.0,4642.0,52.9,11.9,0.82,59.3,98.8,Winter,Urban,153.0,72.7,49.9,17.0,9.3,153.0,Unhealthy,Spain,40.4165,-3.7026
481,2024-04-25,29.4,50.5,10.7,1.6,1885.0,47.3,18.6,0.8,45.0,78.9,Summer,Urban,124.4,62.8,44.6,26.6,9.1,124.4,Unhealthy for Sensitive Groups,Spain,40.4165,-3.7026
482,2024-04-26,25.2,56.6,11.4,0.1,3084.0,29.2,12.4,0.68,59.8,125.6,Fall,Rural,153.2,85.9,27.5,17.7,7.7,153.2,Unhealthy,Portugal,38.5,-8.0
483,2024-04-27,22.0,49.9,12.6,2.8,2101.0,44.4,21.5,1.08,69.8,139.1,Winter,Rural,158.4,92.6,41.9,30.7,12.3,158.4,Unhealthy,Spain,37.5,-4.5
484,2024-04-28,31.0,60.5,16.2,4.2,3817.0,36.1,10.3,0.9,64.4,118.1,Summer,Rural,155.6,82.2,34.1,14.7,10.2,155.6,Unhealthy,United Kingdom,54.0,-1.5
485,2024-04-29,26.2,54.4,19.3,0.4,1307.0,33.2,25.7,0.87,62.8,128.5,Summer,Rural,154.8,87.4,31.3,36.7,9.9,154.8,Unhealthy,North Macedonia,41.8,21.2
486,2024-04-30,22.9,45.1,20.4,4.6,3159.0,25.1,25.1,0.58,70.9,45.3,Spring,Rural,159.0,41.9,23.7,35.9,6.6,159.0,Unhealthy,Spain,37.5,-4.5
487,2024-05-01,26.8,72.6,10.8,2.2,614.0,49.7,14.5,0.91,62.9,146.8,Winter,Rural,154.8,96.4,46.9,20.7,10.3,154.8,Unhealthy,Sweden,60.0,17.0
488,2024-05-02,24.6,55.0,10.8,2.5,3227.0,26.4,20.7,1.34,60.2,97.9,Fall,Rural,153.4,72.2,24.9,29.6,15.2,153.4,Unhealthy,North Macedonia,41.8,21.2
489,2024-05-03,38.4,47.3,21.6,1.4,2766.0,39.5,13.0,1.35,71.0,147.1,Fall,Urban,159.0,96.6,37.3,18.6,15.3,159.0,Unhealthy,Poland,52.2298,21.0118
490,2024-05-04,34.4,58.3,18.2,1.6,4792.0,30.5,20.1,1.11,62.0,134.6,Summer,Rural,154.4,90.4,28.8,28.7,12.6,154.4,Unhealthy,Finland,61.0,24.0
491,2024-05-05,30.0,60.7,15.4,2.3,4996.0,47.8,14.1,0.91,56.5,115.4,Spring,Rural,151.5,80.9,45.1,20.1,10.3,151.5,Unhealthy,Serbia,44.5,20.2
492,2024-05-06,37.4,42.5,17.4,3.6,4401.0,36.7,8.6,1.17,67.0,93.1,Fall,Urban,156.9,69.9,34.6,12.3,13.3,156.9,Unhealthy,Finland,60.1695,24.9355
493,2024-05-07,30.4,63.3,14.9,0.7,3228.0,38.7,2.7,0.8,59.5,103.2,Spring,Rural,153.1,74.9,36.5,3.9,9.1,153.1,Unhealthy,Hungary,47.2,18.8
494,2024-05-08,25.7,49.5,17.6,5.3,4671.0,39.0,13.7,0.91,55.8,61.8,Winter,Rural,151.2,54.4,36.8,19.6,10.3,151.2,Unhealthy,Sweden,60.0,17.0
495,2024-05-09,37.6,77.1,13.3,3.5,1949.0,43.0,16.4,0.78,62.3,118.6,Spring,Rural,154.5,82.5,40.6,23.4,8.9,154.5,Unhealthy,Czech Republic,49.8,14.2
496,2024-05-10,32.7,65.2,16.3,0.2,4882.0,40.1,21.7,1.27,62.5,48.9,Spring,Rural,154.6,45.3,37.8,31.0,14.4,154.6,Unhealthy,Austria,47.5,11.5
497,2024-05-11,24.8,56.0,7.4,2.1,2068.0,39.6,15.2,1.23,43.4,94.0,Summer,Rural,120.5,70.3,37.4,21.7,14.0,120.5,Unhealthy for Sensitive Groups,Finland,61.0,24.0
498,2024-05-12,29.0,52.5,11.6,7.0,1822.0,34.8,20.0,0.99,65.0,130.9,Fall,Rural,155.9,88.6,32.8,28.6,11.2,155.9,Unhealthy,Spain,37.5,-4.5
499,2024-05-13,25.6,59.0,11.6,0.5,1360.0,24.3,12.7,1.52,87.7,114.4,Winter,Urban,167.6,80.4,22.9,18.1,17.3,167.6,Unhealthy,Netherlands,52.374,4.8897
500,2024-05-14,23.1,66.1,13.1,3.1,1241.0,28.8,13.3,1.12,45.3,69.4,Fall,Urban,125.1,58.1,27.2,19.0,12.7,125.1,Unhealthy for Sensitive Groups,Netherlands,52.374,4.8897
501,2024-05-15,34.6,59.7,10.4,1.4,2230.0,47.2,20.3,1.11,52.5,73.2,Winter,Urban,142.9,60.0,44.5,29.0,12.6,142.9,Unhealthy for Sensitive Groups,Poland,52.2298,21.0118
502,2024-05-16,39.5,57.8,12.3,3.4,3433.0,36.9,2.7,1.07,101.7,88.1,Winter,Urban,174.9,67.4,34.8,3.9,12.2,174.9,Unhealthy,Denmark,55.6759,12.5655
503,2024-05-17,23.0,60.6,7.4,4.5,2764.911133603239,33.4,15.1,0.62,47.7,101.6,Fall,Rural,131.0,74.1,31.5,21.6,7.0,131.0,Unhealthy for Sensitive Groups,United Kingdom,54.0,-1.5
504,2024-05-18,32.8,54.0,17.7,1.2,3667.0,25.9,13.0,0.73,79.3,117.5,Winter,Urban,163.3,81.9,24.4,18.6,8.3,163.3,Unhealthy,Bosnia and Herzegovina,43.8486,18.3564
505,2024-05-19,26.7,56.6,14.6,4.2,2418.0,22.8,21.8,0.98,56.6,112.1,Fall,Rural,151.6,79.3,21.5,31.1,11.1,151.6,Unhealthy,Poland,52.0,20.5
506,2024-05-20,27.6,39.1,6.5,6.4,2718.0,33.0,12.4,0.99,60.9,78.8,Spring,Rural,153.8,62.8,31.1,17.7,11.2,153.8,Unhealthy,Denmark,55.5,12.0
507,2024-05-21,27.0,69.7,10.8,2.1,1840.0,48.9,17.6,1.18,58.0,112.4,Winter,Urban,152.3,79.4,46.1,25.1,13.4,152.3,Unhealthy,Denmark,55.6759,12.5655
508,2024-05-22,25.7,63.0,16.7,3.6,2014.0,34.4,19.6,0.8,66.4,114.5,Fall,Urban,156.6,80.4,32.5,28.0,9.1,156.6,Unhealthy,Serbia,44.804,20.4651
509,2024-05-23,30.2,52.3,12.3,0.8,1911.0,44.0,7.5,1.02,36.3,109.8,Spring,Rural,103.0,78.1,41.5,10.7,11.6,103.0,Unhealthy for Sensitive Groups,France,49.2,0.5
510,2024-05-24,25.8,79.0,11.5,2.0,3536.0,34.0,14.3,1.03,62.8,149.6,Spring,Rural,154.8,97.8,32.1,20.4,11.7,154.8,Unhealthy,North Macedonia,41.8,21.2
511,2024-05-25,31.4,60.9,14.6,1.6,4667.0,46.4,12.8,1.04,53.9,114.5,Spring,Urban,146.3,80.4,43.8,18.3,11.8,146.3,Unhealthy for Sensitive Groups,Belgium,50.8505,4.3488
512,2024-05-26,29.7,49.6,16.7,3.6,1522.0,36.5,19.7,1.0,32.1,119.4,Spring,Rural,93.1,82.9,34.4,28.1,11.4,93.1,Moderate,France,49.2,0.5
513,2024-05-27,28.8,68.6,7.8,4.4,2786.0,27.7,18.4,0.58,76.8,137.5,Winter,Rural,162.0,91.8,26.1,26.3,6.6,162.0,Unhealthy,Poland,52.0,20.5
514,2024-05-28,25.5,64.0,17.8,1.8,3258.0,37.3,13.8,0.32,28.4,117.0,Fall,Rural,85.3,81.7,35.2,19.7,3.6,85.3,Moderate,Netherlands,53.1,5.5
515,2024-05-29,27.1,63.9,11.0,5.1,4271.0,58.3,9.8,0.72,92.2,89.0,Fall,Rural,169.9,67.8,55.6,14.0,8.2,169.9,Unhealthy,Romania,46.5,24.5
516,2024-05-30,33.8,55.7,15.04141700404858,5.1,1612.0,57.9,20.2,0.84,69.3,124.9,Spring,Rural,158.1,85.6,55.2,28.9,9.5,158.1,Unhealthy,North Macedonia,41.8,21.2
517,2024-05-31,32.5,64.5,14.8,3.7,2445.0,44.9,14.7,0.65,39.6,92.0,Summer,Rural,111.1,69.3,42.4,21.0,7.4,111.1,Unhealthy for Sensitive Groups,Belgium,51.0,4.0
518,2024-06-01,25.1,57.4,12.4,1.0,2058.0,38.6,6.9,0.98,80.1,80.3,Summer,Urban,163.7,63.5,36.4,9.9,11.1,163.7,Unhealthy,Romania,44.4323,26.1063
519,2024-06-02,30.5,65.6,9.9,0.8,4379.0,43.0,7.3,1.33,48.7,82.1,Summer,Rural,133.5,64.4,40.6,10.4,15.1,133.5,Unhealthy for Sensitive Groups,Spain,37.5,-4.5
520,2024-06-03,33.8,41.0,13.6,0.4,1141.0,43.2,17.2,1.22,49.4,124.6,Summer,Rural,135.2,85.4,40.8,24.6,13.9,135.2,Unhealthy for Sensitive Groups,Bulgaria,42.5,23.0
521,2024-06-04,21.7,55.7,23.1,3.9,2737.0,39.6,8.6,1.14,33.0,112.4,Spring,Urban,95.0,79.4,37.4,12.3,13.0,95.0,Moderate,Italy,41.8919,12.5113
522,2024-06-05,32.7,77.2,8.2,0.4,3986.0,44.4,24.3,1.3,47.0,121.2,Summer,Rural,129.3,83.8,41.9,34.7,14.8,129.3,Unhealthy for Sensitive Groups,Poland,52.0,20.5
523,2024-06-06,26.7,52.3,23.5,3.4,3725.0,42.1,10.3,0.72,48.8,112.5,Summer,Rural,133.7,79.5,39.7,14.7,8.2,133.7,Unhealthy for Sensitive Groups,Serbia,44.5,20.2
